"Do you understand and accept the terms, including the privacy notice, above?",EnglishFirstLanguage,EnglishFluency,OtherLanguages,EnjoysPuns,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,gender,race,hispanic,age,location
Yes,Yes,Yes,English is my only fluent language,Sometimes,1,2,1,2,2,1,2,2,2,1,4,2,3,1,3,3,1,2,1,2,1,1,2,1,1,3,2,1,1,2,Male,White,No,35-44,Europe
Yes,Yes,Yes,Spanish,Usually,3,2,1,1,5,2,2,3,2,5,1,6,4,4,2,2,2,1,4,2,2,5,6,6,3,4,5,6,2,2,Female,White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Usually,2,2,3,2,6,2,5,2,4,1,2,3,4,5,2,5,5,2,5,2,2,2,3,3,5,3,2,5,2,3,Female,White,No,35-44,United States
Yes,Yes,Yes,English is my only fluent language,Never,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Male,Asian/Pacific Islander,No,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Always,6,5,1,6,3,6,2,6,6,4,4,2,2,6,6,6,5,5,6,3,5,6,3,6,5,5,6,2,2,2,Female,White,No,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Always,6,6,3,6,6,6,6,3,5,5,5,6,6,6,6,6,3,4,4,6,5,5,4,4,4,5,6,6,1,3,Male,White,No,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Usually,2,6,5,5,6,2,3,4,4,3,1,4,5,5,5,5,4,4,5,5,2,4,4,6,4,4,5,3,2,3,Male,Asian/Pacific Islander;White,No,18-24,United States
Yes,No,Yes,Norwegian,Always,2,5,3,5,5,6,6,6,5,6,6,2,6,6,6,6,6,3,5,6,6,5,5,6,6,4,6,1,5,5,Female,White,No,25-34,Europe
Yes,Yes,Yes,German,Always,1,5,6,2,6,4,4,6,1,1,3,1,6,4,3,2,3,3,4,2,3,1,1,4,1,4,1,2,1,3,Male,White,No,18-24,United States
Yes,Yes,Yes,French,Usually,3,3,4,4,2,3,5,3,3,4,2,3,4,3,5,5,2,1,4,3,2,3,2,4,3,4,4,2,2,3,Male,White,No,18-24,Europe
Yes,Yes,Yes,English is my only fluent language,Always,4,4,6,2,5,4,5,4,4,3,4,3,4,3,6,6,3,2,2,4,6,5,4,5,5,5,5,6,1,3,Female,White,No,35-44,United States
Yes,Yes,Yes,English is my only fluent language,Always,2,2,6,5,4,5,6,4,6,3,4,1,2,5,1,6,1,3,3,5,2,6,1,4,5,5,6,2,1,2,Female,White,No,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Usually,3,2,3,3,4,2,4,3,2,3,2,3,2,3,3,3,2,2,2,3,3,4,3,2,2,3,2,4,2,3,Male,White;Other,No,18-24,United States
Yes,Yes,Yes,Korean,Usually,2,3,2,2,2,3,2,3,2,2,2,3,3,2,2,3,2,4,2,3,3,2,4,1,3,4,3,2,2,3,Male,White,No,25-34,Canada
Yes,No,Yes,Albanian,Usually,2,4,3,3,3,3,5,3,3,2,4,2,2,5,2,6,4,5,6,3,6,2,5,6,4,3,3,1,4,1,Male,White,No,18-24,Europe
Yes,Yes,Yes,English is my only fluent language,Usually,1,2,1,3,1,3,5,2,4,1,1,1,2,2,3,3,1,2,2,1,1,2,1,4,3,3,2,1,1,1,Female,White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Always,5,4,5,4,3,3,4,3,4,4,5,2,4,5,5,3,5,2,4,2,5,3,2,3,5,4,6,2,2,1,Male,Asian/Pacific Islander,No,18-24,United States
Yes,Yes,Yes,French;Spanish,Always,5,3,4,2,5,5,3,4,2,4,3,5,4,4,4,3,4,5,4,5,4,4,4,5,5,3,5,4,3,2,Male,White,No,18-24,Europe
Yes,Yes,Yes,English is my only fluent language,Usually,2,5,4,4,4,5,4,5,5,4,3,4,5,6,4,5,5,4,5,6,3,4,5,4,3,6,6,4,5,4,Female,White,No,18-24,Canada
Yes,Yes,Yes,Spanish,Always,1,4,5,2,4,2,5,4,4,5,2,4,1,5,2,3,4,1,1,5,3,1,2,2,4,5,3,2,4,1,Female,White,Yes,25-34,United States
Yes,No,Yes,German,Always,2,2,4,1,1,2,1,1,3,1,3,1,1,1,1,2,2,3,2,1,2,1,2,2,3,1,1,2,1,1,Female,White,No,25-34,Europe
Yes,Yes,Yes,English is my only fluent language,Usually,1,4,4,2,2,3,4,2,3,6,2,4,4,3,4,4,5,2,4,1,3,5,1,4,1,2,4,4,3,3,Male,White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Usually,5,4,3,3,5,5,5,4,5,1,5,3,5,3,2,6,3,4,5,3,3,5,3,6,3,6,6,5,4,4,Female,White,No,35-44,United States
Yes,Yes,Yes,American Sign Language,Usually,4,3,5,3,2,4,4,5,5,3,3,2,2,2,4,4,1,1,3,4,1,4,2,4,2,1,3,4,1,5,Female,White,No,25-34,Canada
Yes,Yes,Yes,French;Russian,Always,6,6,4,6,4,5,4,5,6,4,4,5,6,5,4,5,5,5,5,6,4,5,4,5,6,5,6,6,5,5,Female,White,No,18-24,Canada
Yes,Yes,Yes,Spanish,Always,1,5,4,2,3,4,3,3,1,1,3,2,3,4,1,2,2,2,1,1,4,2,2,4,5,2,5,2,2,2,Male,White,No,25-34,United States
Yes,No,Yes,German,Usually,2,1,2,4,3,1,5,2,1,1,4,1,1,1,1,1,2,1,5,2,2,1,1,1,2,1,2,1,2,1,Male,White,No,25-34,Europe
Yes,Yes,Yes,Spanish,Usually,5,2,4,4,4,4,4,5,5,3,2,2,2,2,4,3,3,4,3,4,2,4,3,2,4,4,2,2,2,3,Male,Black,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Usually,2,5,5,3,6,6,5,5,4,6,2,2,2,4,6,3,2,5,5,6,3,5,2,6,6,5,2,6,3,2,Male,White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Always,2,2,2,2,3,3,2,1,4,4,1,2,3,3,2,4,1,2,2,4,1,2,1,2,3,3,3,2,2,3,Male,Asian/Pacific Islander,No,45-54,United States
Yes,No,Yes,Italian,Usually,1,5,6,2,3,1,2,2,4,4,1,2,1,1,2,3,2,3,1,2,1,1,5,4,5,2,2,1,1,1,Female,White,No,25-34,Europe
Yes,Yes,Yes,Japanese,Usually,4,1,3,4,6,5,6,1,1,4,4,2,2,2,3,6,1,1,6,2,1,5,1,5,5,2,5,1,1,1,Male,White,No,25-34,United States
Yes,Yes,Yes,French,Usually,6,6,6,6,1,6,6,6,1,4,6,1,5,6,6,6,6,4,3,6,6,1,1,4,6,6,6,2,1,1,Female,White,No,18-24,Canada
Yes,Yes,Yes,English is my only fluent language,Always,1,1,2,4,1,3,1,4,2,6,1,1,5,1,3,4,1,3,2,2,1,6,1,2,3,1,1,1,1,1,Female,White,No,Under 18,Europe
Yes,Yes,Yes,Spanish,Usually,1,2,1,6,3,4,5,2,3,4,3,1,2,3,4,2,1,3,1,5,1,3,1,2,6,1,2,2,4,1,Male,White,No,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Always,4,2,4,4,5,5,6,5,6,5,3,5,5,5,5,6,4,3,2,5,3,4,2,5,6,6,5,3,2,2,Female,White,No,25-34,Europe
Yes,Yes,Yes,English is my only fluent language,Sometimes,1,4,1,6,6,4,2,1,3,1,1,5,3,2,6,3,4,3,1,3,1,2,6,4,1,5,4,4,1,3,Male,White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Always,6,4,3,5,5,2,3,2,1,3,1,2,3,5,3,3,1,4,3,3,5,2,2,1,1,2,3,2,2,3,Male,White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Always,5,2,3,3,4,3,3,3,4,2,2,2,3,3,6,4,3,3,3,3,4,3,3,5,6,3,4,2,2,2,Male,Asian/Pacific Islander,No,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Usually,1,2,2,4,5,2,6,5,4,4,1,1,2,1,5,3,5,4,4,1,2,2,1,2,1,3,1,2,1,2,Female,Black,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Always,2,4,3,2,6,3,5,1,2,2,4,4,4,3,2,4,2,3,3,4,3,1,3,4,4,2,5,1,2,3,Female,White,No,18-24,United States
Yes,Yes,Yes,Spanish,Always,2,2,1,3,4,4,6,2,1,4,3,4,4,3,4,6,4,1,2,3,2,2,4,5,2,4,6,1,1,2,Male,White,No,25-34,United States
Yes,No,Yes,Arabic;French;German,Always,1,1,4,6,6,1,1,6,2,1,1,2,1,5,1,4,6,6,1,6,1,1,3,3,6,1,2,1,3,1,Male,Other,No,18-24,Europe
Yes,Yes,Yes,English is my only fluent language,Usually,6,3,3,5,3,4,2,5,5,5,4,5,4,4,4,5,3,4,4,3,5,3,3,4,2,4,5,1,3,2,Male,White,No,18-24,Canada
Yes,Yes,Yes,Spanish,Usually,2,1,2,1,4,3,3,4,1,1,2,1,1,2,1,5,1,2,1,1,1,1,1,2,1,1,2,1,1,2,Female,White,No,25-34,United States
Yes,No,Yes,Thai,Usually,5,3,6,4,2,4,5,6,4,5,3,4,1,5,4,4,5,4,4,3,4,4,3,1,3,5,4,3,4,4,Male,Asian/Pacific Islander,No,18-24,Asia
Yes,Yes,Yes,English is my only fluent language,Usually,5,4,2,2,6,3,1,1,1,6,1,1,3,3,6,5,3,1,1,2,1,3,2,3,1,2,5,2,1,1,Female,White,No,35-44,Europe
Yes,Yes,Yes,English is my only fluent language,Always,2,4,2,2,4,3,4,3,4,5,3,5,3,3,6,4,3,3,3,3,3,3,2,3,2,3,2,4,2,2,Male,White,No,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Always,6,3,3,4,4,2,6,4,3,3,3,3,5,3,3,2,2,3,4,1,6,5,3,4,2,3,2,3,3,1,Male,White,No,18-24,United States
Yes,No,Yes,Hindi/Urdu,Always,6,6,6,6,6,5,6,6,6,6,6,4,6,4,6,5,6,6,6,3,6,4,6,6,4,6,6,6,6,4,Male,Asian/Pacific Islander,No,45-54,Other
Yes,No,Yes,German,Usually,6,3,3,2,3,3,5,4,3,5,3,2,5,3,3,6,4,2,3,6,2,5,5,4,5,4,2,5,3,4,Female,White,No,18-24,Europe
Yes,Yes,Yes,French,Usually,3,3,6,2,6,5,5,5,2,5,4,3,4,6,2,4,4,2,2,4,3,4,1,3,2,2,5,4,4,3,Male,White,No,18-24,United States
Yes,Yes,Yes,Spanish,Usually,2,1,1,5,3,5,3,6,2,2,3,6,1,3,3,5,5,1,4,2,3,3,1,2,5,4,5,1,1,1,Male,White,No,18-24,United States
Yes,Yes,Yes,German,Usually,3,2,3,6,2,5,4,1,6,3,2,4,5,5,4,6,4,4,5,1,5,4,4,3,3,3,3,2,5,1,Male,White,No,18-24,Europe
Yes,No,Yes,Arabic,Always,6,4,2,5,6,5,6,5,5,1,3,1,3,2,6,4,2,2,4,2,1,6,1,5,5,1,2,2,2,2,Male,Other,No,18-24,Asia
Yes,Yes,Yes,Spanish,Always,4,4,4,4,6,2,3,5,3,1,3,6,6,3,6,4,3,4,2,2,2,1,3,5,3,5,2,1,2,1,Male,White,No,18-24,United States
Yes,Yes,Yes,Spanish,Rarely,3,2,1,3,3,2,3,3,1,2,2,1,2,3,2,2,2,2,2,2,1,1,2,1,2,2,2,1,1,1,Male,White,No,Under 18,United States
Yes,Yes,Yes,English is my only fluent language,Sometimes,2,5,3,3,2,2,2,4,2,2,1,5,2,2,2,3,2,2,2,2,1,1,4,3,2,4,2,3,3,3,Male,White,No,18-24,Europe
Yes,Yes,Yes,French,Sometimes,5,4,3,4,2,5,2,6,3,5,3,2,2,2,4,3,3,4,6,3,4,2,3,4,5,4,4,2,6,4,Female,Asian/Pacific Islander;White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Always,5,6,6,4,5,4,6,5,6,2,3,4,5,4,5,5,6,4,2,2,3,4,5,4,3,4,5,5,2,1,Male,White,No,25-34,United States
Yes,No,Yes,Swedish,Always,4,5,3,3,4,1,4,5,4,3,3,4,1,1,2,3,2,3,2,3,6,1,6,5,6,3,4,2,2,2,Female,White,No,35-44,Europe
Yes,Yes,Yes,English is my only fluent language,Sometimes,1,1,1,1,1,3,4,3,2,2,2,1,1,1,4,5,1,2,1,1,2,3,1,1,4,1,5,1,2,1,Male,White,No,25-34,United States
Yes,No,Yes,"At least one, either listed above or not, but prefer not to say",Always,6,6,1,6,5,4,6,2,2,6,3,3,6,5,1,1,2,3,2,6,5,4,4,5,5,2,4,5,4,2,Male,White,No,18-24,Europe
Yes,Yes,Yes,German,Always,6,5,5,5,4,4,4,6,4,4,4,4,3,5,5,5,4,5,4,3,5,5,5,4,5,5,3,6,5,4,Male,White,No,18-24,United States
Yes,No,Yes,Polish,Always,4,6,1,2,3,1,6,1,5,2,2,1,6,2,1,4,4,4,1,1,5,5,1,6,5,5,4,1,2,1,Male,White,No,18-24,Europe
Yes,Yes,Yes,Chinese (Mandarin);French,Usually,4,2,1,4,1,3,4,4,2,4,3,2,3,6,5,4,1,2,4,5,2,3,2,4,4,2,3,3,2,4,Female,White,No,25-34,Asia
Yes,Yes,Yes,German,Usually,1,1,6,4,1,1,6,6,5,4,1,3,5,5,3,6,5,1,2,5,1,6,2,6,2,1,6,3,1,1,Female,White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Usually,3,4,2,2,2,6,4,3,3,6,3,3,4,5,2,5,3,3,6,5,2,5,4,5,6,3,6,4,2,1,Female,White,No,35-44,Canada
Yes,Yes,Yes,English is my only fluent language,Usually,1,4,1,6,6,6,2,6,6,6,1,1,4,6,4,6,6,3,6,6,6,5,1,2,6,5,6,4,5,1,Male,White,No,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Sometimes,1,1,2,2,2,2,6,2,3,3,1,2,1,2,1,2,4,2,5,1,2,3,1,4,1,5,2,1,1,1,Female,White,No,18-24,Australia
Yes,No,Yes,German,Usually,5,5,6,4,4,5,6,5,4,5,3,6,5,4,5,6,3,6,5,6,4,5,5,5,5,5,4,6,5,5,Female,White,No,45-54,United States
Yes,No,Yes,French;Vietnamese,Always,3,2,5,4,5,6,6,5,2,6,5,3,5,4,6,6,3,4,6,3,4,5,4,6,6,6,4,3,2,3,Male,Asian/Pacific Islander,No,18-24,United States
Yes,Yes,Yes,Chinese (Mandarin);Spanish;Swedish,Rarely,4,4,1,6,3,3,3,4,5,2,2,3,4,4,1,4,4,1,1,2,6,3,3,2,2,2,5,1,1,1,Male,White,No,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Usually,2,2,4,4,5,5,4,2,2,5,4,4,5,4,5,4,4,4,2,2,2,2,5,2,2,4,2,5,2,2,Female,White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Rarely,2,1,2,1,1,2,1,3,3,1,2,1,3,4,4,3,1,1,3,1,1,1,1,3,1,1,3,2,1,1,Male,White;Other,Yes,35-44,United States
Yes,Yes,Yes,English is my only fluent language,Always,4,2,3,6,6,3,6,4,3,4,5,3,3,5,4,5,5,4,4,3,3,6,1,3,4,4,5,5,2,3,Female,White,No,35-44,United States
Yes,No,Yes,Chinese (Mandarin);French;Chinese (Cantonese),Usually,5,5,5,4,4,3,5,4,3,2,3,3,2,3,3,4,3,4,4,4,3,2,2,4,2,4,3,3,3,3,Female,Asian/Pacific Islander,No,18-24,Canada
Yes,Yes,Yes,Russian;Spanish,Usually,5,6,2,3,3,5,3,4,3,6,1,1,6,3,6,5,3,3,5,6,4,5,2,3,5,2,4,6,2,2,Male,White,No,18-24,United States
Yes,Yes,Yes,Chinese (Mandarin);Korean,Usually,3,2,2,2,4,5,6,6,6,6,2,2,4,1,5,6,4,3,6,5,2,2,2,6,6,5,6,1,3,3,Female,Asian/Pacific Islander,No,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Sometimes,1,1,4,1,1,3,4,4,3,2,4,2,4,5,6,4,3,2,3,4,2,2,3,2,3,3,5,2,2,2,Male,White,Yes,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Usually,5,4,6,5,4,4,4,5,2,1,2,2,4,6,4,3,3,4,1,6,2,5,1,4,6,3,6,1,1,5,Female,Native American/American Indian;White,No,25-34,United States
Yes,No,Yes,French;German;Italian;Norwegian,Always,2,2,4,1,1,1,4,2,1,1,1,2,1,1,1,1,1,1,5,4,1,1,2,2,1,1,1,1,1,1,Male,White,No,45-54,Europe
Yes,Yes,Yes,English is my only fluent language,Usually,1,1,2,6,2,6,4,1,3,1,2,2,5,1,3,2,3,1,1,5,4,5,4,6,2,1,4,2,1,2,Female,White,No,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Sometimes,2,5,5,4,5,1,3,5,3,1,1,5,3,3,4,3,2,2,1,1,3,2,4,5,1,1,1,3,2,2,Male,White,No,18-24,United States
Yes,No,Yes,German,Sometimes,1,1,1,1,1,1,3,1,1,1,1,1,4,1,1,1,1,2,1,2,1,1,1,2,1,3,2,1,1,1,Female,White,No,18-24,Europe
Yes,Yes,Yes,English is my only fluent language,Usually,2,4,4,5,5,5,4,5,5,5,2,4,5,4,4,5,3,4,3,5,5,5,3,4,4,4,4,2,3,2,Female,White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Always,5,4,4,5,6,5,3,5,2,6,3,1,6,3,3,4,5,4,2,6,3,1,4,3,1,1,4,6,4,1,Female,White,No,35-44,United States
Yes,No,Yes,Arabic,Usually,4,4,3,5,2,1,5,3,3,5,3,3,4,4,2,3,5,2,4,6,4,4,2,4,6,5,3,5,2,3,Male,White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Always,4,4,5,4,6,6,5,4,3,1,4,4,6,4,6,1,6,3,4,5,4,4,5,5,3,4,5,6,4,3,Female,White,Yes,25-34,United States
Yes,No,Yes,Dutch,Sometimes,2,3,3,5,2,4,3,4,1,4,2,2,3,2,3,4,3,2,3,4,3,5,3,2,2,2,2,3,2,1,Male,White,No,Under 18,Europe
Yes,Yes,Yes,Spanish,Usually,1,5,2,2,3,1,4,5,4,3,1,1,1,2,3,5,2,2,2,6,1,1,1,3,4,2,5,1,2,1,Male,White,No,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Always,3,3,4,2,5,3,4,4,1,5,2,5,2,3,2,5,1,3,3,2,5,2,6,3,4,3,5,6,1,2,Female,White,No,45-54,United States
Yes,Yes,Yes,English is my only fluent language,Usually,1,6,1,6,6,6,6,6,6,6,1,6,6,6,1,6,6,6,6,6,1,6,1,6,6,6,6,1,1,1,Female,White,No,18-24,United States
Yes,Yes,Yes,Korean,Always,3,5,3,4,4,5,6,4,6,6,5,5,6,5,3,5,4,4,4,5,5,5,6,6,5,4,4,5,5,4,Female,Asian/Pacific Islander;Native American/American Indian;White,No,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Usually,4,4,2,3,3,5,4,5,3,4,1,3,5,2,5,3,4,4,3,1,3,5,2,5,5,4,3,2,1,1,Female,Black;White,No,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Sometimes,2,3,2,2,5,4,4,2,5,3,3,2,1,2,4,3,3,2,2,5,3,3,5,4,2,4,5,1,3,2,Female,White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Always,4,5,5,5,6,4,6,4,3,3,3,5,2,5,2,4,4,3,2,5,2,4,6,2,5,5,4,6,3,2,Male,White,No,25-34,Europe
Yes,Yes,Yes,English is my only fluent language,Usually,3,5,3,6,6,4,2,4,3,1,2,3,3,4,6,4,4,3,3,4,2,1,1,6,4,5,6,3,2,3,Male,White,No,18-24,United States
Yes,No,Yes,French;Italian;Spanish,Always,3,2,5,5,5,1,4,4,3,4,3,4,3,1,1,4,1,1,4,1,5,3,1,5,6,4,6,1,1,1,Male,White,Yes,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Usually,4,3,5,5,3,5,4,4,4,5,4,6,5,5,5,5,5,4,5,3,5,6,3,6,5,6,5,4,5,4,Female,White,No,55-64,United States
Yes,Yes,Yes,Spanish,Usually,6,3,6,6,6,6,5,5,4,4,3,2,5,5,5,2,2,5,4,6,5,6,4,6,4,5,5,5,2,6,Female,White,No,18-24,United States
Yes,No,Yes,Dutch,Always,1,2,5,6,5,2,5,6,1,2,2,1,5,2,2,5,4,5,5,4,5,3,2,4,4,3,4,3,3,2,Female,White,No,25-34,Europe
Yes,No,Yes,Spanish;Swedish,Rarely,1,2,1,2,3,3,3,3,2,3,1,2,1,4,3,5,2,3,1,4,2,1,2,4,3,3,1,1,3,3,Male,White,No,25-34,Other
Yes,Yes,Yes,English is my only fluent language,Always,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,Female,White,No,18-24,Europe
Yes,Yes,Yes,English is my only fluent language,Always,4,4,5,4,2,5,3,5,4,3,4,6,1,3,5,3,3,4,2,1,4,2,2,4,5,4,6,1,1,2,Female,White,No,18-24,United States
Yes,No,Yes,Hindi/Urdu;Spanish,Usually,6,6,6,6,6,6,6,6,6,6,5,4,5,4,6,6,6,5,5,6,3,3,5,5,6,6,6,4,4,4,Male,Asian/Pacific Islander,No,18-24,United States
Yes,Yes,Yes,"French;Norwegian, Swedish",Usually,1,1,2,1,2,1,3,2,3,2,4,2,2,2,1,5,3,1,3,3,2,3,1,3,3,1,5,2,1,2,Female,White,No,35-44,Europe
Yes,Yes,Yes,English is my only fluent language,Usually,2,2,6,5,6,5,3,4,6,6,5,3,6,4,6,6,4,4,6,3,3,5,3,5,4,2,6,4,3,2,Female,White,No,18-24,United States
Yes,Yes,Yes,Japanese;Russian;Spanish,Always,3,5,4,5,3,4,5,4,4,4,3,4,3,2,5,4,4,3,3,1,4,5,4,5,4,3,6,4,3,3,Male,Asian/Pacific Islander,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Usually,4,5,3,1,1,4,1,4,1,4,1,2,5,1,2,3,2,1,4,4,1,2,5,4,3,3,4,2,1,3,Male,White,No,18-24,Europe
Yes,Yes,Yes,English is my only fluent language,Usually,6,6,5,5,5,6,6,6,6,5,5,3,5,4,6,6,4,3,5,6,6,5,2,5,5,4,6,3,2,2,Female,White,No,18-24,United States
Yes,Yes,Yes,Chinese (Mandarin);Spanish,Always,6,4,5,5,5,4,5,5,5,4,5,4,6,5,5,5,5,4,6,4,4,5,5,4,4,5,5,5,6,4,Female,White,No,25-34,United States
Yes,No,Yes,French;Spanish;Swedish,Usually,1,2,3,6,5,3,4,4,6,3,5,2,5,4,3,4,2,2,2,3,4,5,1,4,5,5,5,1,3,3,Female,Other,Yes,35-44,Europe
Yes,Yes,Yes,Southern Carrier,Usually,3,6,6,6,3,6,6,3,6,6,4,3,6,6,4,6,6,6,6,3,3,5,4,6,6,6,6,4,6,6,Other,Native American/American Indian,No,18-24,Canada
Yes,No,Yes,German;Italian;Japanese,Usually,2,5,6,4,3,5,2,6,4,6,3,2,5,4,4,5,6,5,2,6,6,4,5,6,6,4,4,4,3,2,Male,White,No,25-34,Asia
Yes,Yes,Yes,English is my only fluent language,Usually,3,3,6,5,5,5,5,6,6,6,3,4,3,6,5,5,6,4,6,5,4,2,4,4,6,5,2,3,4,4,Female,Asian/Pacific Islander;Black;Native American/American Indian;White;Other,Yes,45-54,United States
Yes,Yes,Yes,English is my only fluent language,Usually,4,3,1,5,4,5,3,5,3,3,2,3,4,4,4,4,4,2,3,2,4,3,1,3,5,5,4,2,2,3,Male,White,No,25-34,United States
Yes,Yes,Yes,Spanish;Tagalog,Usually,1,3,1,4,6,4,5,5,6,6,4,2,2,1,3,4,1,2,5,6,4,6,2,6,4,3,3,1,1,1,Male,Asian/Pacific Islander,Yes,18-24,United States
